Gene,logFC,pVal,pAdj,sdSF,sdGC
KAT6A,-0.547545746,0.016260152,0.12275082,40.35582,151.71306
ANK1,1.703850839,0.270470513,0.593782146,32.808161,8.691533
GPAT4,0.358497082,0.227834231,0.548223995,140.9218,74.1275
GINS4,-0.528956101,0.07634603,0.314317588,36.82511,52.78966
SFRP1,0.300719188,0.199752476,0.515701108,101.37414,62.71828
ADAM9,0.406268644,0.227860528,0.548223995,28.25462,20.82484
TM2D2,-0.032236605,0.873978259,0.954444975,59.39455,47.43307
PLEKHA2,0.026124569,0.897277563,0.963147001,41.14949,30.27949
SLIT2,-0.127597281,0.891706781,0.961114375,10.46747,11.98497
TENM3,0.428582456,0.552652788,0.808781335,23.0624,19.07681
DCTD,0.265456144,0.821167246,0.934715782,9.902395,4.126654
WWC2,0.023466656,0.940901897,0.981001598,35.59705,29.71576
FGFR1,0.732637131,0.133986335,0.42327087,51.72129,23.46883
RWDD4A,-0.716135702,0.000805238,0.014832479,59.01179,60.49767
PLPP5,0.415465102,0.395295893,0.705064913,27.13615,13.09544
STAR,0.860174091,0.210446597,0.528462289,12.62972,5.46516
ASH2L,-0.343629284,0.169837336,0.47688947,58.38224,47.64317
TTI2,0.617781225,0.104555131,0.373834138,44.91384,21.0126
MAK16,-0.453290269,0.059540014,0.27305741,66.987,79.52147
WRN,0.04642708,0.833623538,0.938455834,65.4254,44.31067
GSR,-0.167392168,0.572854451,0.818836873,59.66459,31.92746
GTF2E2,-0.466171227,0.090442903,0.344435474,59.77153,35.81528
RBPMS,0.623366178,0.076548655,0.314737996,65.88843,88.80108
FRG1,-0.28070785,0.142142115,0.436559421,145.9791,107.6134
ASAH1,0.19248629,0.487355773,0.769170409,27.5729,47.24022
PCM1,-0.229650357,0.196418022,0.510934869,167.4953,174.3297
FGL1,5.004478921,0.089740441,0.342472142,21.852516,1.879355
SLC7A2,1.323885944,0.017031177,0.126858775,33.43491,10.03878
VPS37A,0.670141818,0.003217651,0.040991675,182.9607,112.2314
CNOT7,0.722642393,0.000736139,0.013869712,119.82507,55.78731
MSMO1,-0.327437035,0.269370538,0.592896173,24.30338,25.4881
KLHL2,0.467687505,0.165546875,0.470387188,36.27113,23.55666
GALNT7,0.409559144,0.035636608,0.203710248,149.737,107.0338
SAP30,-0.982362121,0.012654045,0.104481389,45.90766,29.30332
HPGD,1.709022072,1.26E-25,7.57E-23,173.6016,54.0045
EDNRA,1.191709731,0.172958832,0.480315082,16.296465,4.185816
TMEM184C,0.342109785,0.109005876,0.382326388,43.3654,33.05333
NR3C2,1.291035429,0.175858638,0.484149204,9.706499,7.993578
SIN3B,-0.488997697,0.006657639,0.068403044,118.0727,139.7741
SORBS2,0.934701633,0.132640817,0.422105136,28.66904,11.20913
IRF2,0.273875608,0.230640081,0.550897292,108.25674,94.58678
CASP3,0.092990816,0.685166645,0.877052624,64.5796,45.72985
CENPU,-2.198970281,0.003247711,0.041191448,8.04918,22.97719
CFAP97,0.194980695,0.360043437,0.677331113,62.78753,52.04413
SLC25A4,0.313198433,0.136493738,0.427401261,625.571,571.3856
UFSP2,-0.497746327,0.028468431,0.176456939,79.59894,65.56494
ANXA10,2.287550416,0.064360581,0.284900654,7.21596,2.532689
PDLIM3,0.399087241,0.672328866,0.870330968,11.059091,7.574614
TLR3,2.063707478,0.002105113,0.030405673,30.53416,5.930647
CBR4,0.618361016,0.136434557,0.427401261,61.20673,25.15794
SH3RF1,-0.474748161,0.254530991,0.576895155,21.71495,27.48528
NEK1,-0.689256316,0.104348341,0.373435881,20.66127,49.90958
MFAP3L,1.298925107,0.099245391,0.36264727,25.35024,20.73959
N4BP1,-0.137926666,0.506137622,0.780636416,54.6457,44.47574
HEATR3,0.154966089,0.683519302,0.877052624,46.76524,19.79237
ADCY7,0.560317867,0.274342081,0.598644176,53.81206,43.47423
BRD7,-0.006220552,0.973734778,0.992280329,135.1734,151.8392
NKD1,0.849808446,0.530326198,0.795565514,9.881331,5.133829
SNX20,-0.110083635,0.718687164,0.893438393,55.21172,37.27083
RBL2,0.569354813,0.010383666,0.092461756,151.77566,86.90063
AKTIP,0.669778512,0.026046679,0.166386313,95.08671,24.81156
EIF2AK3,0.777966935,0.000561168,0.011470246,40.93432,24.08155
GINS3,-1.483865727,0.007570272,0.074686673,14.33899,15.84098
SETD6,0.019534845,0.974821605,0.992532713,28.86641,13.43229
GOT2,-0.66174308,0.010393606,0.092461756,37.57399,45.53887
CDH11,0.205177787,0.771812376,0.914963037,11.4277,23.59832
SMAD1,0.541065865,0.011873468,0.10059614,67.43127,29.46929
LSM6,-1.005767334,5.60748E-10,6.65123E-08,77.55227,124.29927
SLC10A7,0.130980718,0.721542351,0.894046504,52.36343,28.88302
TNPO2,0.212083422,0.454038605,0.747326175,38.99167,24.22427
VPS35,-0.017574598,0.911158686,0.967515194,84.59793,95.68104
ORC6,-1.372253576,8.56431E-06,0.000380942,53.34894,104.26289
MYLK3,0.700227964,0.585780623,0.825892041,9.046364,9.415277
GPT2,-0.409647918,0.380138672,0.694318598,18.86229,36.89464
DNAJA2,0.574288827,0.003503641,0.043296379,164.46513,38.74176
ITFG1,0.306285232,0.234256822,0.555300387,36.13629,65.7219
RFX1,-0.475040624,0.250649879,0.57332727,48.00279,30.76986
TECR,-0.417667711,0.016076962,0.12201502,120.0704,271.342
TBC1D9,0.766043877,0.027221577,0.171343335,34.28287,16.07025
UCP1,0.875891202,0.269409346,0.592896173,2880.907,1714.903
ZFP330,0.127636274,0.607510348,0.83767411,58.69627,32.3049
IL15,0.75533864,0.129956751,0.417552402,23.38383,8.41689
GAB1,0.33034133,0.533526986,0.797463678,17.68614,11.98459
SMARCA5,-0.178173805,0.31543488,0.638626203,308.9784,251.4309
HP,0.597515934,0.359159043,0.676941512,949.8017,1130.461
TXNL4B,-0.31828596,0.454113894,0.747326175,47.37035,28.09669
CES1F,0.903041684,0.202791254,0.519857097,21.449278,8.771732
ZFP821,0.220526361,0.577652889,0.821164998,27.20014,16.14708
IST1,-0.112368089,0.465052939,0.754229736,48.52177,47.18706
DHODH,0.237987546,0.538522299,0.800573835,22.05157,41.65131
AP1G1,0.181183588,0.39285542,0.702883934,48.15444,62.50301
PHLPP2,-1.076821791,0.214927303,0.53220256,8.731655,19.267461
IRX3,-0.101924616,0.915053303,0.968747519,4.615363,5.414002
MMP2,0.617585305,0.034136504,0.197897579,33.20552,22.9584
GNAO1,0.553099683,0.591292521,0.828741115,34.49207,21.54099
ST3GAL2,0.420803322,0.287533851,0.610677903,31.11033,24.7895
IL34,0.556537356,0.131316111,0.419938536,14.28436,10.02233
AMFR,0.024763864,0.915569106,0.969043838,59.61299,60.38829
COG4,-0.103540553,0.738815902,0.900981283,40.6395,44.94142
NUDT21,-0.565229686,0.001633521,0.025148507,81.9536,69.75131
BBS2,0.889121095,0.239061297,0.560219588,29.84058,12.56503
CENPN,-1.542719562,0.013710136,0.110364831,16.38985,23.13058
CDYL2,-0.142404974,0.699251118,0.883843929,29.98763,26.29677
MT2,0.184639989,0.646342102,0.856405938,37.28817,42.59037
MT1,0.576634197,0.048064664,0.241026018,505.4908,369.3752
NUDT7,0.654064423,0.113495792,0.390351363,83.47752,83.09693
HERPUD1,0.324140318,0.146115631,0.443461358,69.22776,48.35907
PSME3IP1,0.221093866,0.431063888,0.732490481,95.34403,55.15084
ARL2BP,-0.138739382,0.536069116,0.799608818,43.50248,41.74912
CX3CL1,0.84652164,0.070499512,0.300193326,32.39885,15.58937
CCL22,-0.806955491,0.099670517,0.363677764,16.89145,29.97692
CCL17,-1.445786042,0.03491555,0.200982633,9.52474,18.98636
CIAPIN1,0.50953116,0.071972404,0.303493652,97.22586,56.98632
COQ9,0.524702685,0.144716984,0.44089349,105.46695,72.59763
POLR2C,-0.245945049,0.15965693,0.462488168,67.57117,65.54639
ADGRG1,0.189522914,0.634596486,0.851257469,54.29075,24.3066
KATNB1,-0.316495136,0.60836157,0.838035993,25.74723,18.79639
KIFC3,-1.830136039,0.020274422,0.141736721,6.488982,23.039006
MMP15,-0.465467592,0.477339513,0.762545124,13.440159,9.223073
TMEM38A,0.043689997,0.945582802,0.982827543,17.35204,12.53569
USB1,0.248028618,0.656452297,0.861820696,65.97488,19.10083
CFAP20,-0.284569861,0.120276736,0.402129588,38.49554,29.74803
TPM4,0.243244029,0.164885695,0.469469964,92.05421,57.55248
PHXR4,0.395757914,0.328126768,0.650890764,29.65425,31.39224
B3GNT3,-0.611561983,0.642084837,0.854613534,5.800771,7.75217
JAK3,0.367173366,0.543130046,0.803028182,31.95156,14.57492
PGLS,-0.55594964,0.010851934,0.095347211,204.1787,263.8625
SLC27A1,0.20513375,0.601938331,0.83389862,43.20137,59.49405
MAP1LC3B,0.057044945,0.71052243,0.889687275,744.9198,555.1487
MVB12A,-0.556079307,0.034443029,0.198847532,55.32137,52.72166
MTHFSD,0.364716667,0.398295984,0.707255381,40.64404,21.67752
COX4I1,0.13373475,0.521604214,0.790395743,2505.929,1879.501
EMC8,-0.311736908,0.169627138,0.476539114,87.75021,96.48571
BABAM1,-0.223902614,0.326535069,0.649024141,34.18256,44.71709
GINS2,-2.011658923,4.71368E-09,4.88756E-07,23.56494,51.46192
GSE1,0.187063812,0.388566594,0.699531793,123.42924,92.28502
ZDHHC7,-0.083628816,0.782973091,0.919509175,31.26452,29.24587
6430548M08RIK,-0.160817916,0.854000956,0.946062929,28.86094,16.08725
CRISPLD2,0.435913772,0.436168969,0.73629084,34.17805,13.69835
USP10,-0.576452751,0.052262734,0.253718498,87.62586,52.94376
COTL1,-0.067043008,0.806898874,0.929010639,64.14861,59.88907
KLHL36,-0.082519292,0.873748533,0.954327225,20.66521,13.25167
TAF1C,-0.852531605,0.043678226,0.228040169,36.52584,29.54902
MAST3,0.005655521,0.981433601,0.994791905,47.52778,57.39019
PIK3R2,0.116275181,0.766853235,0.912842781,43.23291,17.09724
MBTPS1,0.537746469,0.045792566,0.233511446,214.9022,112.4918
IFI30,-0.139870196,0.639737033,0.854055485,39.88924,28.19902
HSBP1,-0.386992777,0.002436733,0.033653144,156.9757,216.7671
RAB3A,1.753113089,0.024806139,0.161761652,40.675572,9.671236
CDH13,1.079062741,0.228559437,0.548773976,57.30319,56.14979
MPHOSPH6,-0.51469872,0.07640824,0.314366888,23.26641,22.04148
1700030J22RIK,-0.56661692,0.628255603,0.848227338,10.419234,8.827447
LSM4,-0.616767887,0.00148204,0.023227525,163.2228,233.622
NTPCR,-0.475025405,0.329904011,0.653006644,21.3852,26.75267
MAU2,-0.044271036,0.833239173,0.938455834,98.64463,81.85091
PBX4,-0.020875084,0.972569321,0.99200703,27.09332,15.90523
LPAR2,0.788449396,0.246456764,0.569380524,5.480871,3.223058
ATP13A1,0.691505448,0.005598566,0.061170092,64.18696,50.74095
INTS10,0.265592014,0.573852702,0.818927652,46.64134,20.21244
DCTN1,0.352685536,0.127966619,0.414161898,74.57717,42.14839
PGR,1.664063518,2.39417E-13,4.46257E-11,25.143227,7.621013
CDH5,1.046580493,0.052851103,0.255014718,37.7465,35.99423
CMTM3,0.119293315,0.785123278,0.920592763,31.15294,16.10559
CES2G,0.215180128,0.817463127,0.93329662,8.535706,7.239948
NAE1,0.240590697,0.260633229,0.583295379,33.87281,42.17877
CIAO2B,-0.266912228,0.120927191,0.403689993,96.67541,107.43697
RRAD,-0.823934708,0.059285059,0.272881443,15.08929,14.28281
CAR7,1.838366669,0.164564928,0.468983086,10.945282,2.249973
CBFB,-0.354887904,0.029289858,0.179631109,31.60342,80.51952
CES2E,0.533579396,0.655776627,0.8612622,9.4683,6.057565
TRADD,0.037670406,0.894463233,0.962333401,23.3402,16.81528
PHAF1,0.488343109,0.091033377,0.345445853,15.81198,16.86311
PSMB10,-0.376526062,0.05212356,0.253132312,120.9935,166.5456
DUS2,-0.642579005,0.313108557,0.636381747,37.17284,16.38253
NFATC3,-0.147546658,0.396544866,0.706347671,131.9154,155.2677
PLA2G15,0.135889906,0.729229871,0.897593454,23.49553,28.54813
SLC7A6,0.446802724,0.166522733,0.471387893,70.15892,33.89511
SMPD3,0.536300642,0.369887443,0.686501623,26.4694,14.5652
ZFP90,0.346473503,0.346274845,0.667869944,27.76711,28.93197
HAS3,-1.584762604,0.206755674,0.525080986,3.094168,12.942168
VPS4A,-0.223175425,0.379830213,0.694267476,48.13043,60.4311
COG8,-0.118626705,0.517186276,0.787839211,50.18921,46.96773
NIP7,-0.150920041,0.459604225,0.751464427,43.69323,53.60214
MTMR2,0.433902163,0.112269489,0.388022136,132.26735,47.86697
TERF2,-0.125290096,0.67711941,0.873571078,60.9137,56.39303
CEP57,-0.208302563,0.150832672,0.449053529,46.12281,58.76452
CYB5B,-0.08975781,0.633602385,0.850579828,49.14395,73.40773
MAML2,0.358327978,0.159391933,0.461915828,28.02406,19.95448
MRE11A,0.581819274,0.218558782,0.536650224,99.42545,52.55485
WWP2,-0.110275359,0.642338383,0.854613534,69.20626,20.56665
ANKRD49,0.423027458,0.106824226,0.378224794,61.22252,36.34707
GPR83,1.948855076,0.011921249,0.100674752,20.775265,7.136596
IZUMO1R,1.074585275,0.030306969,0.182998928,29.61201,17.52813
PANX1,0.168196533,0.565113187,0.814655848,95.27325,46.24891
MED17,-0.203319946,0.438873351,0.738083625,37.13831,37.54814
4931406C07RIK,0.795197303,0.041835582,0.22234206,122.3771,84.8487
TAF1D,-0.921098559,1.32841E-06,7.71316E-05,308.0892,878.6649
KARS,-0.709071964,0.005404759,0.059739569,70.61279,97.39813
ADAT1,0.143647093,0.770555291,0.914607247,17.03676,11.36932
GABARAPL2,0.13052,0.364100051,0.681251732,159.8393,194.7594
TMEM231,0.836052958,0.257164139,0.580340177,12.289734,8.395991
TMEM170,0.172566421,0.618983267,0.843025488,24.97358,18.68102
CFDP1,0.166467525,0.444071607,0.740357729,79.95472,52.49814
BCAR1,0.306419995,0.673115187,0.871028597,14.80688,11.73192
LDHD,0.061916318,0.889882251,0.961058327,17.10237,20.96634
WDR59,0.074504852,0.87161446,0.953126666,25.59855,17.95435
AARS,-0.438810831,0.264659824,0.587087202,26.4953,24.23911
AFG3L1,0.106121718,0.658454527,0.863146561,74.15931,60.28079
ACAD8,0.112295826,0.76314222,0.911196351,30.97881,20.97045
CCSAP,-1.34524045,0.007761732,0.075716786,14.77977,16.4467
ACTA1,0.988555583,0.000823293,0.015094021,126.4217,20.35411
ABCB10,0.600735987,0.242754626,0.564775119,29.50669,10.77489
URB2,0.189455642,0.587727492,0.826778917,22.55643,23.819
COG2,0.212141905,0.592819628,0.829396562,86.97744,52.25746
ARV1,0.332086564,0.584442598,0.824959361,21.84015,11.7712
2310022B05RIK,0.499894946,0.181996344,0.490691056,28.29951,21.92706
2810004N23RIK,0.119857019,0.437654203,0.737142482,109.72928,71.52155
GNPAT,-0.06346945,0.74700557,0.904115861,42.39868,31.38303
SPRTN,0.798984941,0.048851765,0.243589835,24.20752,26.78776
EGLN1,0.205232562,0.366151018,0.683217142,106.34499,50.60463
VPS26B,0.223514118,0.393053448,0.703157888,29.52151,46.75892
JAM3,1.552794719,0.018084894,0.132119053,16.39928,5.49566
SNX19,-0.171677024,0.56642851,0.815615395,21.81897,33.48649
ST14,0.971725309,0.135834327,0.426802742,17.800915,7.545987
APLP2,0.751303029,0.000314855,0.007413058,192.133,171.6153
BIRC3,0.454953119,0.128583994,0.41578678,83.52078,43.82493
DCUN1D5,0.13034552,0.367105807,0.684014711,95.22341,76.39538
PDGFD,0.433212082,0.62358333,0.845488185,10.923442,9.605841
SESN3,0.431554648,0.071418702,0.301994869,191.50945,49.29125
USP2,0.983165203,0.073313244,0.306669908,119.22168,40.20164
THY1,-0.333573757,0.014901513,0.116018395,668.4658,842.6511
NECTIN1,0.795571917,0.001981896,0.029046232,28.73439,14.44283
TRIM29,0.773392265,0.023417456,0.156020048,58.00825,43.48805
OAF,0.514860041,0.12504973,0.409476256,20.94771,14.42505
SC5D,-0.029757586,0.884842607,0.958819344,59.19949,76.95049
UBASH3B,0.961292407,0.044688747,0.230237483,67.76441,20.6305
CRTAM,-0.965161787,0.519550094,0.78904832,4.490074,10.766796
CLMP,-0.292340971,0.757537399,0.908522639,3.98789,6.779303
REXO2,0.232339714,0.365463226,0.682415948,224.3597,229.4342
CUL5,-0.756397927,0.000374774,0.008358735,50.81329,58.06235
ETS1,-0.193968616,0.102987082,0.370341924,196.6215,482.2356
ST3GAL4,0.350431667,0.404123625,0.7116879,50.01032,20.29663
DCPS,-0.613411813,0.068766028,0.296035686,32.51678,49.37865
TIRAP,0.374000834,0.57760901,0.821164998,14.14978,6.34922
SRPR,0.129878788,0.40092015,0.709529422,146.6873,92.8664
RPUSD4,-0.191359829,0.502028462,0.778696041,31.1085,19.41271
ABHD12,0.315661199,0.288832522,0.611941921,47.51162,24.33176
ACAT1,0.38445616,0.10067741,0.366157077,227.4484,173.7538
RDX,-0.496577852,0.001544531,0.023990798,117.7519,132.6367
FDX1,0.407159968,0.095532951,0.354950027,63.08521,90.92454
POU2AF1,-0.901628437,0.307186425,0.630935046,7.841719,8.124965
PPP2R1B,-0.862161711,0.03203965,0.190056774,21.99058,39.19931
ALG9,0.672495003,0.101408103,0.367533953,48.60429,7.130814
CRYAB,-0.039980343,0.951534462,0.98532904,127.6011,231.0349
2310030G06RIK,2.135402389,0.006906973,0.070081558,25.793303,6.162083
DIXDC1,-0.06827436,0.953660229,0.985975121,19.32249,18.92707
PTS,-0.114397826,0.57434766,0.818994655,97.34714,102.01158
PLET1,-0.106982928,0.907088619,0.965726792,10.446113,7.746954
CADM1,0.467507285,0.201614689,0.518253355,20.85391,27.42333
BUD13,-0.32578076,0.347940198,0.669088659,27.28669,14.02432
ZPR1,-0.417843994,0.290920595,0.614536395,56.88332,54.68165
APOA4,0.420128895,0.594669496,0.83079685,18.436206,7.315699
APOC3,2.558677964,0.004129964,0.0487286,11.415705,1.641189
APOA1,-0.358448727,0.7410038,0.902233784,11.28818,10.08129
TAGLN,0.446568189,0.522547127,0.791402628,37.61867,31.98357
BACE1,-0.195154782,0.66252068,0.865825869,53.29271,35.6088
IL10RA,-0.185137336,0.747721797,0.904196704,21.459718,9.845087
TMPRSS4,-0.023160952,0.981020687,0.994550693,3.912585,3.933024
MPZL2,1.155049032,0.01494896,0.116151544,46.85835,24.38443
CD3E,-0.096014199,0.576935032,0.820864029,224.2692,234.8389
CD3D,-0.194618143,0.235462746,0.556558004,862.0531,935.6983
ARCN1,0.194568971,0.302787728,0.625923879,109.85341,45.34469
DDX6,-0.00167494,0.989867936,0.99751318,120.8014,278.6333
PUS3,0.695706522,0.017391891,0.128871199,54.82324,17.63717
NLRX1,-1.229128404,0.090957577,0.345325602,10.55909,15.9792
TRAPPC4,-0.009353843,0.963484173,0.988614699,91.12988,158.08796
CHEK1,-1.984321123,6.54275E-05,0.002184219,24.26723,35.47571
SLC37A4,0.954411358,0.092648577,0.348534062,18.041337,8.661588
HYOU1,0.830898538,0.044093522,0.229283383,40.31762,29.90797
STT3A,-0.628241886,0.001820552,0.027224821,38.21324,62.95949
HINFP,-0.238612082,0.4699973,0.758086713,42.27569,22.54563
C2CD2L,-0.380175036,0.25642619,0.579345578,32.75509,19.72458
TMEM218,-0.240533486,0.578870834,0.822049175,31.38094,19.45137
SLC37A2,-0.174855293,0.621104391,0.843961457,43.21493,38.06196
DPAGT1,-0.768216796,0.067552751,0.292579093,29.34095,36.81976
ROBO4,2.053822515,0.039977182,0.21756091,9.295466,2.312119
HMBS,-0.378029736,0.221644736,0.540491244,44.65264,27.99278
VPS11,-0.163436826,0.611614366,0.839856703,46.43345,15.74105
MCAM,-0.733424196,0.122945501,0.406366415,6.185119,10.216198
PIN1,-0.158193186,0.426336319,0.729506625,90.78413,199.59158
TYK2,0.799228716,0.024219902,0.159265434,27.81216,11.96042
PDE4A,0.616332952,0.397674007,0.706960434,36.59518,16.20029
ILF3,-0.487604504,0.014279558,0.1132599,107.7389,146.2152
TMED1,0.401312559,0.173640343,0.480673082,40.54403,16.89049
YIPF2,0.454852213,0.129084547,0.416518605,31.96278,17.46931
LYSMD2,0.836505351,0.158480003,0.460608563,30.38539,19.53566
CARM1,0.014246426,0.973204951,0.992151968,12.71561,17.52158
TMOD2,0.43704084,0.621040885,0.843961457,37.57546,31.27172
SMARCA4,-0.958166178,1.54898E-08,1.40188E-06,140.9007,190.83
GNB5,0.585401045,0.334884583,0.657071829,35.98876,12.56963
LDLR,-1.2938428,0.004448493,0.051554443,18.80506,31.40189
KANK2,0.764608539,0.125059931,0.409476256,25.651314,8.918684
DOCK6,0.556613468,0.46378269,0.753574676,13.49816,14.76731
POLR2M,-0.160100132,0.334313307,0.656859641,40.22127,66.20543
RAB27A,-0.625610872,0.028291787,0.175753279,34.86408,32.99359
SLTM,0.141215271,0.283464904,0.606086446,97.90662,96.84124
RSL24D1,0.068228965,0.770865856,0.914837164,61.3065,48.65775
NEDD4,-0.003802961,0.984862952,0.995673742,243.1936,288.3377
RNF111,0.304551937,0.091923591,0.34733474,109.704,128.8536
CCNB2,-4.163168023,5.13E-34,8.93E-31,14.19867,156.90669
MYO1E,0.642069859,0.224573302,0.544126306,22.0513,25.80181
MNS1,-1.601948807,1.0284E-08,9.75861E-07,109.007,253.0636
TCF12,-0.175298312,0.257655196,0.580959617,256.0727,335.2533
ANXA2,-0.915294564,2.15523E-08,1.89504E-06,158.3466,377.198
CGNL1,0.534894254,0.186425866,0.496185877,59.85902,32.58116
ICE2,-0.432391664,0.241705451,0.563415505,44.90637,69.70928
RORA,-0.248881667,0.467505489,0.756483407,75.86257,33.75154
RP9,-0.342421245,0.006069672,0.064472768,83.76008,104.57672
FEM1B,-0.341338423,0.163931822,0.468256298,48.83592,26.12153
CLN6,-0.490831016,0.303748494,0.626916711,30.20615,16.52889
CALML4,0.856579365,0.390341143,0.700922221,13.740188,7.228067
ANP32A,-0.085292138,0.734000151,0.898814356,184.7885,151.4744
IRAK1BP1,-0.045385802,0.922563118,0.972240071,44.11186,26.08448
GLCE,0.085692854,0.850027677,0.944830828,26.5842,46.33581
PHIP,0.171843592,0.362356742,0.679777079,280.6111,217.1417
KIF23,-1.787235138,3.59226E-08,3.0077E-06,27.0049,80.85755
LCA5,0.543350294,0.190314333,0.501810628,73.11461,38.62257
SH3BGRL2,-1.205571635,0.057144173,0.266678487,17.66286,32.62435
ELOVL4,-0.007114,0.993758067,0.998265646,10.58154,13.6044
BCKDHB,1.084374274,0.015208314,0.117298803,62.15989,32.66982
ZW10,-0.781481356,0.013314403,0.108068224,30.55988,30.78343
TENT5A,0.816313887,0.024621609,0.160960555,64.25189,44.3735
USP28,0.721380636,0.161860825,0.465684479,79.78979,26.30169
NNMT,1.082545793,0.078198048,0.317403741,189.0042,174.6623
PAQR5,0.372106815,0.721522946,0.894046504,14.055073,5.758344
IDH3A,0.691549498,0.1314004,0.419938536,643.7886,436.5729
TLE3,0.049766452,0.821883174,0.93503343,98.7701,105.202
DNAJA4,1.364543584,0.008420727,0.079953497,34.74769,14.6901
IMP3,-0.491946749,0.023741846,0.157377682,68.51483,64.92659
THSD4,1.065389156,0.350931436,0.670952821,79.894348,6.286791
PTPN9,0.760218656,0.021654275,0.148441761,40.74825,22.89404
IREB2,0.193982755,0.432308674,0.733627103,72.74427,92.80751
PKM,-0.189328437,0.411511227,0.716242997,306.8041,300.904
MAN2C1,-0.654019293,0.123308284,0.407128424,22.04561,19.69062
NEIL1,-0.593311048,0.125582401,0.410232349,31.94907,36.43691
COMMD4,-0.267131099,0.153378573,0.452702535,126.4823,176.2167
1700017B05RIK,0.61333727,0.008160682,0.078339541,32.04441,25.71788
PSMA4,-0.32677542,0.046072946,0.23451369,105.1114,108.8229
FAM219B,-0.425563345,0.103537784,0.371809881,34.4475,30.92683
MPI,-0.633162074,0.246177898,0.5690002,31.07574,16.4007
UBE2Q2,0.194692268,0.40823186,0.714325431,50.51805,42.57683
ULK3,0.405304577,0.381904591,0.695328046,10.758662,7.623508
FBXO22,-0.116979894,0.71685402,0.892394457,23.80586,22.2473
NRG4,0.760986321,0.249815074,0.57259158,96.76247,84.31526
CSK,-0.245485939,0.249816254,0.57259158,71.33376,71.93866
ETFA,0.286801946,0.300023274,0.623105062,594.3211,492.1982
CLK3,-0.100532938,0.509360001,0.782972117,178.6067,129.9844
RCN2,0.415640753,0.030002827,0.182229434,38.49057,70.02986
PSTPIP1,0.319361899,0.178473524,0.486991977,51.08326,22.67142
TSPAN3,0.636984321,0.000506139,0.010608596,98.56509,95.20878
TMEM30A,0.783265009,8.37169E-06,0.000374502,355.3957,187.8107
HMG20A,-0.018010443,0.936892152,0.979033017,36.82671,47.26077
COX7A2,0.052458627,0.823382351,0.935051723,1354.839,1052.99
COL12A1,1.450602022,0.00202332,0.029534895,41.51845,9.821504
STOML1,-0.542471536,0.214298454,0.531907243,22.22078,27.16572
LOXL1,-0.581644364,0.411540398,0.716242997,13.39148,24.07051
NPTN,0.399844082,0.107360011,0.379199833,77.62633,99.48298
NEO1,1.223191088,0.036269353,0.205704383,14.39141,8.1281
MTO1,-0.505332858,0.227898795,0.548223995,37.00313,28.17825
CGAS,-0.167990108,0.715936986,0.892042238,13.284133,8.450535
GSTA4,0.179611224,0.604374066,0.83551507,70.67183,46.71959
ELOVL5,-0.138075998,0.493334145,0.773961194,56.97643,61.52465
GCLC,0.650835894,0.00405019,0.047989442,50.42955,43.61018
LRRC1,-0.05005389,0.847608763,0.943951234,42.68479,57.40041
TMED3,0.55372865,0.021931452,0.149686459,49.14144,47.43802
CTSH,0.810706179,0.002100517,0.030395379,41.64535,22.22265
TPM1,0.809840179,0.114104152,0.391397144,1015.2787,396.3196
PLSCR1,0.894136103,0.011395219,0.098128007,21.55773,10.4649
LACTB,0.056507373,0.855079959,0.946312013,37.23032,19.73524
PLSCR2,1.073510765,0.035278694,0.202403265,13.03136,8.4263
CAR12,-0.265564216,0.842292787,0.9427141,5.14011,6.939628
PLOD2,1.016738587,5.69737E-05,0.001955667,33.26542,12.17255
APH1B,0.461876197,0.364247599,0.681364954,18.97658,11.67485
USP3,-0.210844585,0.236709651,0.557905013,136.2263,131.1459
PLSCR4,0.678615243,0.458832102,0.75075078,18.62251,14.40564
DAPK2,1.174824501,0.09351128,0.350348436,10.657248,3.926142
CIAO2A,-0.47892224,0.005363259,0.059470637,113.3248,170.953
SNX1,-0.579598539,0.040370004,0.218433552,55.35429,63.1447
PPIB,-0.25117368,0.073220549,0.306364012,81.81798,107.18489
CSNK1G1,0.262798168,0.404676435,0.711799965,87.27763,88.88039
TRIP4,0.255569038,0.315686738,0.638807797,66.59544,36.96076
RBPMS2,0.276386347,0.703318206,0.885624348,34.91111,19.19453
SPG21,-0.184644926,0.427680619,0.729910121,56.69326,49.90269
PARP16,0.245160339,0.616666948,0.84154474,22.61583,11.93452
DPP8,0.494387606,0.017780685,0.130639224,62.67601,28.62425
DIS3L,0.415217716,0.414360233,0.718851875,17.78299,16.10465
TIPIN,-1.414151648,5.43184E-08,4.3391E-06,35.4278,66.65597
SNAPC5,-0.423086601,0.08534823,0.333075085,92.90792,60.3198
RPL4,-0.719529823,7.29106E-08,5.62345E-06,322.8967,559.7312
ZWILCH,-3.439866717,3.99398E-08,3.32626E-06,5.251902,21.59997
LCTL,-1.314554541,0.241469392,0.56335662,6.442477,12.970728
SMAD3,-0.360425765,0.442661705,0.739655273,29.16253,24.13753
2300009A05RIK,-0.392703865,0.158945742,0.46136698,68.40869,73.41256
PIAS1,-0.20858907,0.347829268,0.669088659,71.40829,62.32948
U2SURP,-0.243673996,0.09572049,0.355393813,97.09421,212.54299
ATR,0.523409349,0.14240586,0.437014611,60.43846,39.38212
XRN1,0.250594841,0.14450707,0.440707888,171.0417,194.4703
